Place,Latitude,Longitude,Description,Category
Charminar,17.3616,78.4747,Historic mosque and monument located in Hyderabad district,Historical
Golconda Fort,17.3833,78.4011,Medieval fortress with rich history in Hyderabad district,Historical
Hussain Sagar Lake,17.4239,78.4738,Large artificial lake with Buddha statue in Hyderabad district,Lake
Ramoji Film City,17.2543,78.6808,World's largest integrated film studio complex in Rangareddy district,Entertainment
Birla Mandir,17.4062,78.4691,White marble Hindu temple in Hyderabad district,Religious
Nagarjuna Sagar Dam,16.5833,79.3167,One of the world’s largest masonry dams in Nalgonda district,Dam
Yadadri Temple,17.6663,78.9443,Famous Narasimha Swamy temple in Yadadri Bhuvanagiri district,Religious
Bhongir Fort,17.5159,78.8858,Hill fort built by Western Chalukyas in Yadadri Bhuvanagiri district,Historical
Warangal Fort,17.9566,79.5941,Ancient fort of Kakatiya dynasty in Warangal district,Historical
Thousand Pillar Temple,17.9783,79.5941,Kakatiya era temple in Warangal district,Religious
Laknavaram Lake,18.1746,79.9053,Suspension bridge and scenic lake in Warangal district,Nature
Ramappa Temple,18.2597,79.9431,UNESCO World Heritage Kakatiya temple in Mulugu district,Historical
Bogatha Waterfalls,18.4482,80.4265,Beautiful multi-tiered waterfall in Mulugu district,Nature
Kuntala Waterfalls,19.2233,78.5298,Highest waterfall in Telangana located in Adilabad district,Nature
Basar Saraswati Temple,18.8794,77.9436,Famous Saraswati temple on Godavari river in Nirmal district,Religious
Kawal Wildlife Sanctuary,19.1667,78.9667,Protected tiger reserve in Mancherial district,Wildlife
Pocharam Wildlife Sanctuary,18.3185,78.2403,Sanctuary around Pocharam lake in Kamareddy district,Wildlife
Domakonda Fort,18.1778,78.5683,Historical fort built by Reddy kings in Kamareddy district,Historical
Vemulawada Temple,18.4643,78.8668,Raja Rajeshwara Swamy temple in Rajanna Sircilla district,Religious
Nizamabad Fort,18.6725,78.0941,Ancient fort overlooking the city in Nizamabad district,Historical
Khammam Fort,17.2473,80.1509,Historical fort built by Kakatiyas in Khammam district,Historical
Kinnerasani Dam,17.6469,80.8683,Scenic dam with lush forest views in Khammam district,Nature
Pochampally Village,17.3515,78.8900,Famous for handloom ikat sarees in Yadadri Bhuvanagiri district,Cultural
Alampur Jogulamba Temple,15.8796,78.1348,One of the 18 Shakti Peethas in Jogulamba Gadwal district,Religious
Koilkonda Fort,16.6667,77.9167,Medieval hill fort in Mahbubnagar district,Historical
Jurala Dam,16.2275,77.5636,Hydroelectric dam on Krishna river in Jogulamba Gadwal district,Dam
Keesaragutta Temple,17.5444,78.6385,Ancient Shiva temple on a hilltop in Medchal–Malkajgiri district,Religious
Ananthagiri Hills,17.3668,77.9030,Beautiful hill station and trekking spot in Vikarabad district,Nature
Chilkur Balaji Temple,17.3317,78.3017,Famous temple known as Visa Balaji in Rangareddy district,Religious
Singur Dam,17.6885,77.9167,Major reservoir on Manjira river in Sangareddy district,Dam
Medak Church,18.0453,78.2605,One of the largest churches in Asia located in Medak district,Religious
Medak Fort,18.0480,78.2591,Ancient fort with panoramic views in Medak district,Historical
Siddipet Komati Cheruvu,18.1030,78.8486,Beautiful lake with bridge and park in Siddipet district,Nature
